G1,G2,G3,G4,G5,V_GMPP,P_Max
100,100,100,100,100,170.599507251532,81.7103352528285
200,100,100,100,100,174.439349496648,84.4805215947911
300,100,100,100,100,175.603415742938,85.0780762276475
400,100,100,100,100,176.316528048264,85.4317405909642
500,100,100,100,100,176.707182300666,85.6837387232449
600,100,100,100,100,176.108156584693,86.0501470376627
700,100,100,100,100,177.534590836217,86.0401928619683
800,100,100,100,100,177.826964917458,86.1758474722915
900,100,100,100,100,177.90678203827,86.2936443425588
1000,100,100,100,100,178.18963031416,86.3976666420131
200,200,100,100,100,178.768259775425,87.5390716727014
300,200,100,100,100,179.216837615349,88.1384568263912
400,200,100,100,100,180.613906567091,88.4740042851047
500,200,100,100,100,181.293689583351,89.3709705951213
600,200,100,100,100,181.546096472367,88.9287961221754
700,200,100,100,100,181.817511704249,89.091355797287
800,200,100,100,100,182.030177425329,89.2395478094679
900,200,100,100,100,182.260535018017,89.3478871354088
1000,200,100,100,100,181.871395750579,89.470380736124
300,300,100,100,100,69.1531438064143,99.152562097295
400,300,100,100,100,71.6136910070786,105.26391973525
500,300,100,100,100,72.5774256315637,106.998725602733
600,300,100,100,100,73.1729789673669,108.05997313323
700,300,100,100,100,73.7047963850197,108.82378756052
800,300,100,100,100,74.1632418112044,109.417935896057
900,300,100,100,100,74.5057429808038,109.903480041407
1000,300,100,100,100,74.8260898320605,110.312345491279
400,400,100,100,100,69.8660535979749,133.45370888285
500,400,100,100,100,71.6187901143104,140.605633329531
600,400,100,100,100,72.8426125940867,142.934191650388
700,400,100,100,100,73.4306999506136,144.341115682704
800,400,100,100,100,73.8608530550121,145.347842490505
900,400,100,100,100,74.2379745219577,146.134747356399
1000,400,100,100,100,74.653194950423,146.78209231045
500,500,100,100,100,70.288058639963,167.833682489244
600,500,100,100,100,71.7824867144537,175.881993089107
700,500,100,100,100,72.9645810897101,178.729456500074
800,500,100,100,100,73.4258561338505,180.469940138321
900,500,100,100,100,74.0226169706344,181.725045819663
1000,500,100,100,100,74.2600107941339,182.698320362768
600,600,100,100,100,70.5987267072207,202.201630602051
700,600,100,100,100,71.809313802955,210.996380905377
800,600,100,100,100,72.8459391138785,214.355832659839
900,600,100,100,100,73.4451636054707,216.416549857074
1000,600,100,100,100,73.9670853491221,217.910115721389
700,700,100,100,100,70.791164797996,236.503036068154
800,700,100,100,100,71.8512371412666,245.932690269602
900,700,100,100,100,72.9032673378491,249.763814657091
1000,700,100,100,100,73.4375466124795,252.148184432316
800,800,100,100,100,70.9107141019977,270.696261736529
900,800,100,100,100,71.9248805011597,280.663278736059
1000,800,100,100,100,72.8207979791157,284.951177800589
900,900,100,100,100,70.8310063096478,304.745623925436
1000,900,100,100,100,71.8630688320092,315.175522329809
1000,1000,100,100,100,71.0216342791291,338.642622730071
200,200,200,100,100,103.961950583051,99.5298932835792
300,200,200,100,100,106.872870542294,104.066835707054
400,200,200,100,100,108.040284694902,105.248226260368
500,200,200,100,100,108.590712662739,105.955156215256
600,200,200,100,100,109.003214293502,106.458541984452
700,200,200,100,100,109.388359804747,106.851407926154
800,200,200,100,100,109.871314792176,107.173647120185
900,200,200,100,100,110.106422254021,107.446653403563
1000,200,200,100,100,110.359025511909,107.682862962549
300,300,200,100,100,110.710010027787,112.144337001998
400,300,200,100,100,113.577546969681,130.203603450073
500,300,200,100,100,112.247039423405,111.530142096674
600,300,200,100,100,112.88186600984,112.064866949791
700,300,200,100,100,113.221140833984,112.442970054138
800,300,200,100,100,113.610791175864,112.780594512947
900,300,200,100,100,113.766318242706,113.050833111563
1000,300,200,100,100,114.097778458696,113.31637481106
400,400,200,100,100,69.8784687776526,133.4541245957
500,400,200,100,100,71.6597537624184,140.60947232618
600,400,200,100,100,72.8455214399262,142.93505571732
700,400,200,100,100,73.3616923056397,144.339023603235
800,400,200,100,100,73.9637369374449,145.350119270141
900,400,200,100,100,74.2324906992375,146.135354079496
1000,400,200,100,100,74.6371504191627,146.783544626063
500,500,200,100,100,70.2428727481851,167.836333358999
600,500,200,100,100,71.9558504031248,175.879783980688
700,500,200,100,100,72.9099084343304,178.73633778228
800,500,200,100,100,73.6021960881687,180.47045080522
900,500,200,100,100,73.9496348605119,181.72632062779
1000,500,200,100,100,74.283780671674,182.702048453229
600,600,200,100,100,70.4715453915001,202.204584626165
700,600,200,100,100,71.8467257969861,211.00124748659
800,600,200,100,100,72.7715233362161,214.350628915433
900,600,200,100,100,73.4310403445122,216.416771564552
